"OO_5878"	"0.2895981087470449 - 29.012244897959185"
"OO_5879"	"0.3293864370290635 - 37.333333333333336"
"OO_5880"	"0.4576719576719577 - 59.72832369942196"
"OO_5881"	"0.37260677466863035 - 31.679841897233203"
"OO_5882"	"0.3981623277182236 - 70.42307692307692"
"OO_5883"	"0.384140061791967 - 28.839142091152816"
"OO_5884"	"0.30158730158730157 - 40.94210526315789"
"OO_5885"	"0.3448275862068966 - 61.95882352941177"
"OO_5886"	"0.3300970873786408 - 47.42156862745098"
"OO_5887"	"0.4295377677564825 - 42.01049868766404"
"OO_5888"	"0.4090909090909091 - 36.63703703703704"
"OO_5889"	"0.3693516699410609 - 43.04255319148936"
"OO_5890"	"0.3868046571798189 - 39.94983277591973"
"OO_5891"	"0.30666666666666664 - 55.87391304347826"
"OO_5892"	"0.38482384823848237 - 29.697183098591548"
"OO_5893"	"0.4099025974025974 - 42.96831683168317"
"OO_5894"	"0.32170542635658916 - 32.816265060240966"
"OO_5895"	"0.3877551020408163 - 41.8328173374613"
"OO_5896"	"0.3076923076923077 - 28.803030303030305"
"OO_5897"	"0.3720038350910834 - 29.938144329896907"
"OO_5898"	"0.29497206703910617 - 35.06060606060606"
"OO_5899"	"0.5178571428571429 - 49.875"
"OO_5900"	"0.35370611183355005 - 41.400735294117645"
"OO_5901"	"0.331306990881459 - 42.091743119266056"
"OO_5902"	"0.49096385542168675 - 29.07668711656442"
"OO_5903"	"0.31544502617801046 - 40.4149377593361"
"OO_5904"	"0.3911290322580645 - 37.175257731958766"
"OO_5905"	"0.34968354430379744 - 43.457013574660635"
"OO_5906"	"0.382262996941896 - 34.808"
"OO_5907"	"0.4122340425531915 - 30.729032258064517"
"OO_5908"	"0.24956063268892795 - 38.394366197183096"
"OO_5909"	"0.34668508287292815 - 32.66533864541832"
"OO_5910"	"0.36384439359267734 - 35.660377358490564"
"OO_5911"	"0.5305343511450382 - 47.618705035971225"
"OO_5912"	"0.30637254901960786 - 43.68"
"OO_5913"	"0.23497267759562843 - 34.41860465116279"
"OO_5914"	"0.27122940430925224 - 32.55140186915888"
"OO_5915"	"0.36658354114713215 - 41.67006802721088"
"OO_5916"	"0.4204724409448819 - 45.47191011235955"
"OO_5917"	"0.3948620361560419 - 39.83614457831325"
"OO_5918"	"0.27629911280101394 - 38.30275229357798"
"OO_5919"	"0.2912 - 41.137362637362635"
"OO_5920"	"0.19234856535600425 - 32.31491712707182"
"OO_5921"	"0.37990580847723704 - 45.49586776859504"
"OO_5922"	"0.31900826446280994 - 41.704663212435236"
"OO_5923"	"0.28532235939643347 - 39.48076923076923"
"OO_5924"	"0.3659217877094972 - 43.64885496183206"
"OO_5925"	"0.3442211055276382 - 42.85401459854015"
"OO_5926"	"0.25668449197860965 - 48.63194444444444"
"OO_5927"	"0.345679012345679 - 46.17460317460318"
"OO_5928"	"0.3107569721115538 - 36.19871794871795"
"OO_5929"	"0.4207920792079208 - 37.40588235294118"
"OO_5930"	"0.3814229249011858 - 34.32642487046632"
"OO_5931"	"0.42926239419588874 - 41.83380281690141"
"OO_5932"	"0.3300561797752809 - 33.65106382978723"
"OO_5933"	"0.4248756218905473 - 33.50819672131148"
"OO_5934"	"0.4713541666666667 - 31.18232044198895"
"OO_5935"	"0.35374149659863946 - 43.76282051282051"
"OO_5936"	"0.337890625 - 45.97687861271676"
"OO_5937"	"0.3067047075606277 - 36.46511627906977"
"OO_5938"	"0.32519280205655526 - 62.130434782608695"
"OO_5939"	"0.36394557823129253 - 42.33644859813084"
"OO_5940"	"0.3900523560209424 - 39.41275167785235"
"OO_5941"	"0.4781456953642384 - 43.149584487534625"
"OO_5942"	"0.3912429378531073 - 41.805054151624546"
"OO_5943"	"0.45184426229508196 - 35.662131519274375"
"OO_5944"	"0.2992047713717694 - 36.60797342192691"
"OO_5945"	"0.47890295358649787 - 44.881057268722465"
"OO_5946"	"0.33070866141732286 - 36.833333333333336"
"OO_5947"	"0.3445692883895131 - 48.41304347826087"
"OO_5948"	"0.3494539781591264 - 36.638392857142854"
"OO_5949"	"0.3247588424437299 - 33.94059405940594"
"OO_5950"	"0.35917312661498707 - 44.98201438848921"
"OO_5951"	"0.3328671328671329 - 60.90756302521008"
"OO_5952"	"0.3720508166969147 - 45.985365853658536"
"OO_5953"	"0.4057471264367816 - 37.92917847025496"
"OO_5954"	"0.5024875621890548 - 31.871287128712872"
"OO_5955"	"0.36507936507936506 - 35.69565217391305"
"OO_5956"	"0.3881278538812785 - 41.92156862745098"
"OO_5957"	"0.40717029449423814 - 41.15723270440252"
"OO_5958"	"0.43068391866913125 - 39.2961373390558"
"OO_5959"	"0.45604395604395603 - 37.76706827309237"
"OO_5960"	"0.3617886178861789 - 47.70786516853933"
