"AA_1730"	"0.3221128948731227_26.95498392282958"
"AA_1737"	"0.3819055244195356_27.0230607966457"
"AA_174"	"0.41455160744500846_24.587755102040816"
"AA_1744"	"0.34391143911439115_32.437768240343345"
"AA_1751"	"0.4030064423765211_34.52042628774423"
"AA_1758"	"0.354295837023915_37.615"
"AA_1765"	"0.3750879662209711_28.592870544090058"
"AA_1772"	"0.2913875598086124_25.372742200328407"
"AA_1779"	"0.37529411764705883_38.45141065830721"
"AA_1786"	"0.4416403785488959_39.15892857142857"
"AA_1793"	"0.38265034592868546_32.44645340751043"
"AA_1800"	"0.40615384615384614_32.01893939393939"
"AA_1807"	"0.3609083536090835_30.30561797752809"
"AA_181"	"0.3755868544600939_44.2375"
"AA_1814"	"0.3497607655502392_30.05061559507524"
"AA_1821"	"0.36187845303867405_27.400763358778626"
"AA_1828"	"0.33886255924170616_38.46153846153846"
"AA_1835"	"0.3875338753387534_29.534965034965033"
"AA_1842"	"0.30092818759159745_25.441558441558442"
"AA_1849"	"0.32216108054027015_25.992236024844722"
"AA_1856"	"0.3385892116182573_29.191176470588236"
"AA_1863"	"0.3023782559456399_20.591760299625467"
"AA_1870"	"0.4003139717425432_30.01830065359477"
"AA_1877"	"0.25382262996941896_24.379518072289155"
"AA_188"	"0.3754421424962102_38.60565275908479"
"AA_1884"	"0.2887096774193548_23.312849162011172"
"AA_1891"	"0.47965571205007823_39.07993474714519"
"AA_1898"	"0.39302172481895986_29.42546063651591"
"AA_1905"	"0.35135135135135137_23.684981684981686"
"AA_1912"	"0.3080260303687636_26.328638497652584"
"AA_1919"	"0.3678977272727273_45.874517374517374"
"AA_1926"	"0.38170347003154576_32.48760330578512"
"AA_1933"	"0.22487562189054727_30.300884955752213"
"AA_1940"	"0.37175792507204614_30.731782945736434"
"AA_1947"	"0.3545176110260337_32.94168466522678"
"AA_195"	"0.3606656580937973_37.06208053691275"
"AA_1954"	"0.4834791059280855_33.439195979899495"
"AA_1961"	"0.3327058823529412_24.514851485148515"
"AA_1968"	"0.5555555555555556_40.8"
"AA_1975"	"0.4619164619164619_36.267287234042556"
"AA_1982"	"0.2530922930542341_20.035714285714285"
"AA_1989"	"0.33612273361227335_32.63278008298755"
"AA_1996"	"0.447178002894356_35.199029126213595"
"AA_2003"	"0.33876221498371334_31.033653846153847"
"AA_2010"	"0.28125_34.18518518518518"
"AA_2017"	"0.3909020817270625_30.005917159763314"
"AA_202"	"0.3501762632197415_33.0"
"AA_2024"	"0.3728395061728395_34.443708609271525"
"AA_2031"	"0.3120567375886525_31.020661157024794"
"AA_2038"	"0.3794561933534743_29.49203821656051"
"AA_2045"	"0.3774193548387097_28.75042735042735"
"AA_2052"	"0.3721890775585131_26.47718865598027"
"AA_2059"	"0.3918152350081037_34.161323681489144"
"AA_2066"	"0.36423841059602646_29.40848484848485"
"AA_2073"	"0.34404145077720205_35.08132530120482"
"AA_2080"	"0.3709862385321101_32.61669242658424"
"AA_2087"	"0.2777101096224117_23.210526315789473"
"AA_209"	"0.4439959636730575_37.310227272727275"
"AA_2094"	"0.3330714846818539_29.17452830188679"
"AA_2101"	"0.3553191489361702_44.535928143712574"
"AA_2108"	"0.35714285714285715_32.761702127659575"
"AA_2115"	"0.3164251207729469_27.103053435114504"
"AA_2122"	"0.42035928143712575_54.94017094017094"
"AA_2129"	"0.2974910394265233_23.56475903614458"
"AA_2136"	"0.28563316297558206_30.970178926441353"
"AA_2143"	"0.3607266435986159_36.67865707434053"
"AA_2150"	"0.32788559754851887_44.308411214953274"
"AA_2157"	"0.43973214285714285_36.53807106598985"
"AA_2164"	"0.4173055859802848_40.577427821522306"
"AA_2171"	"0.31_27.806451612903224"
"AA_2178"	"0.3967714528462192_31.083511777301926"
"AA_2185"	"0.5214521452145214_47.72784810126582"
"AA_2192"	"0.4154727793696275_44.39310344827586"
"AA_2199"	"0.4834578441835646_34.969094922737305"
"AA_2206"	"0.39555745407945325_41.70194384449244"
"AA_2213"	"0.36901913875598086_32.3354943273906"
"AA_2220"	"0.35039370078740156_38.02247191011236"
"AA_2227"	"0.2608695652173913_34.60294117647059"
"AA_223"	"0.4374412041392286_39.73118279569893"
"AA_2234"	"0.3957464553794829_34.531085353003164"
"AA_2241"	"0.3660377358490566_47.09278350515464"
"AA_2248"	"0.4053964023984011_38.80772391125719"
